Case Number,Nature of Offense,Date/Time Occurred,Date Reported,Incident Location,Disposition
UM 23-103010,Theft,04/26/2023 1200,04/26/23,207 Church St SE,Active
UM 23-103042,Driving After Suspension,04/26/2023 1743,04/26/23,University Ave SE / 18th Ave SE,Closed - Cited
UM 23-103228,Bike Theft,04/26/2023 0920,04/26/23,1004 27th Ave SE,HUCK
UM 23-103291,No Valid Drivers License,04/26/2023 2237,04/26/23,2nd St SE / 6th Ave SE,Closed - Cited
UM 23-103308,Health Welfare Hold,04/26/2023 2304,04/26/23,19th Ave S / 2nd St S,Closed
UM 23-101309,Damage to Motor Vehicle,04/24/2023 1645,04/25/23,501 Washington Ave SE,Inactive
UM 23-101439,Flee Police in Motor Vehicle / Hit/Run Property,04/25/2023 0905,04/25/23,425 20th Ave SE,FARRAR
,Damage,,,
UM 23-101841,Miscellaneous,04/25/2023 1358,04/25/23,505 Washington Ave SE,Closed
UM 23-101864,Theft,04/23/2023 1530,04/25/23,526 Delaware St SE,THOMAS
UM 23-101864,Theft,04/23/2023 1530,04/25/23,526 Delaware St SE,THOMAS
UM 23-100616,Crisis Intervention,04/24/2023 1249,04/24/23,401 Church St SE,Closed
UM 23-100668,Theft of Motor Vehicle Part,04/22/2023 0900,04/24/23,200 Oak St SE,THOMAS
UM 23-100880,Aggravated Assault on Police Officer,04/24/2023 1634,04/24/23,Harvard St SE / Delaware St SE,THOMAS
UM 23-099253,Health Welfare Hold,04/22/2023 2225,04/23/23,4th St SE / 15th Ave SE,Closed
UM 23-099695,Damage to Property,04/22/2023 2200,04/23/23,2609 4th St SE,Inactive
UM 23-099709,Damage to Motor Vehicle,04/22/2023 0800,04/23/23,2527 4th St SE,Active
UM 23-099980,Warrant,04/23/2023 1734,04/23/23,Como Ave SE / 29th Ave SE,Closed - Arrest
UM 23-099992,Bike Theft,04/23/2023 1200,04/23/23,301 19th Ave S,FARRAR
UM 23-100065,Recover Stolen Property / Possession of Drug,04/23/2023 1917,04/23/23,Cedar Ave S / Riverside Ave,Closed - Cited
,Paraphernalia,,,
UM 23-098885,Theft from Building,04/21/2023 2100,04/22/23,210 Delaware St SE,Inactive
UM 23-098951,Theft,04/22/2023 1445,04/22/23,117 Pleasant St SE,Inactive
UM 23-099197,Burglary of Dwelling,04/22/2023 1930,04/22/23,701 Fulton St SE,Inactive
UM 23-097398,Missing Person,04/20/2023 2156,04/21/23,500 Harvard St SE,Closed
UM 23-097488,Health Welfare Hold / Crisis Intervention,04/20/2023 2335,04/21/23,500 21st Ave S,Closed
UM 23-097589,Warrant,04/21/2023 0313,04/21/23,80 Church St SE,FARRAR
UM 23-097622,Damage to Motor Vehicle,04/20/2023 0830,04/21/23,900 29th Ave SE,CARLSON
UM 23-097744,Burglary of Dwelling,04/20/2023 1930,04/21/23,701 15th Ave SE,HUCK
UM 23-097772,Burglary of Dwelling,04/21/2023 0200,04/21/23,701 15th Ave SE,HUCK
UM 23-097895,Damage to Motor Vehicle / Tamper with Motor,04/19/2023 2030,04/21/23,2067 Dudley Ave,Inactive
,Vehicle,,
UM 23-098086,Health Welfare Hold,04/21/2023 1657,04/21/23,Harvard St SE / Washington Ave,Closed
,,SE,
UM 23-098312,Trespass / Warrant,04/21/2023 2037,04/21/23,300 19th Ave SE,Closed - Arrest
UM 23-098325,Health Welfare Hold,04/21/2023 2051,04/21/23,500 21st Ave S,Closed
UM 23-096846,Hit and Run Property Damage,04/20/2023 1130,04/20/23,1920 2nd St S,Inactive
UM 23-097057,Traffic Law Enforcement,04/20/2023 1620,04/20/23,University Ave SE / 17th Ave SE,Closed - Cited
UM 23-097071,Auto Theft,04/19/2023 2200,04/20/23,2067 Dudley Ave,Inactive
UM 23-097159,Warrant,04/20/2023 1801,04/20/23,275 Cedar Ave S,Closed - Arrest
UM 23-097394,Trespass,04/20/2023 2154,04/20/23,401 Oak St SE,Closed
UM 23-095760,No Valid Drivers License,04/19/2023 0918,04/19/23,4th St SE / 12th Ave SE,Closed - Cited
UM 23-095919,Damage to Property,04/17/2023 1730,04/19/23,615 Fulton St SE,Inactive
UM 23-095920,Bike Theft,04/18/2023 1834,04/19/23,309 19th Ave S,Inactive
UM 23-095922,Criminal Sexual Conduct - Molest,04/19/2023 1217,04/19/23,117 Pleasant St SE,LAPP
UM 23-096012,Hit and Run Property Damage,04/17/2023 1443,04/19/23,15th Ave SE / University Ave SE,CARLSON
UM 23-096046,Bike Theft,04/18/2023 1300,04/19/23,1925 4th St S,Inactive
UM 23-096291,Consume in Public,04/19/2023 1832,04/19/23,Huron Blvd SE / University Ave SE,Closed - Cited
UM 23-094587,Burglary,04/18/2023 0015,04/18/23,701 15th Ave SE,HUCK
UM 23-094728,Deceased Person,04/18/2023 0100,04/18/23,128 Pleasant St SE,THOMAS
UM 23-094857,Burglary,04/18/2023 0030,04/18/23,701 15th Ave SE,Inactive
UM 23-095108,Theft,04/16/2023 0700,04/18/23,412 22nd Ave S,Inactive
UM 23-095319,Trepass / Warrant,04/18/2023 1917,04/18/23,326 17th Ave SE,Closed - Arrest
MP 23-703778,Damage to Motor Vehicle,3/4/23 4:30 PM,04/17/23,2450 Riverside Ave S,MPD
MP 23-703824,Theft Motor Vehicle Parts,4/14/23 4:32 PM,04/17/23,5th St S & 22nd Ave S,MPD
MP 23-91050,Auto Theft,4/14/23 8:02 AM,04/17/23,909 Fulton St SE,MPD
MP 23-91394,Hit and Run with Injury,4/14/23 3:00 PM,04/17/23,909 Fulton St SE,MPD
MP 23-92685,Hit and Run with Injury,4/15/23 8:57 PM,04/17/23,14th Ave SE & 4th St SE,MPD
UM 23-093782,Property Damage Accident,04/17/2023 0916,04/17/23,15th Ave SE / 4th St SE,Closed
UM 23-093818,Burglary,04/15/2023 2330,04/17/23,225 19th Ave S,FARRAR
UM 23-094021,Bike Theft,04/14/2023 1528,04/17/23,200 Union St SE,CARLSON
UM 23-094048,Theft,04/17/2023 1110,04/17/23,116 Church St SE,CARLSON
UM 23-094131,Damage To Motor Vehicle,04/17/2023 1601,04/17/23,2001 Bloomington Ave,HUCK
UM 23-094250,Bike Theft,04/14/2023 1500,04/17/23,206 Church St SE,LAPP
UM 23-094298,Miscellaneous,04/17/2023 1838,04/17/23,500 Harvard St SE,Closed
UM 23-094514,False Name to Police,04/17/2023 2320,04/17/23,275 Cedar Ave S,Closed- Citation
UM 23-093214,Helath and Welfare Hold/ Crisis Intervention,04/16/2023 1415,04/16/23,514 20th Ave S,Closed
UM 23-091693,Missing Person,04/05/2023 2300,04/15/23,4th St S,CARLSON
UM 23-092015,Consumption of Alcohol by Minor,04/15/2023 0127,04/15/23,615 Fulton St SE,Closed - Cited
UM 23-092039,Consumption of Alcohol by Minor / False 911,04/15/2023 0154,04/15/23,89 Church St SE,Closed - Cited
,Call,,
UM 23-092243,Burglary / Damage to Property / Helath and,04/15/2023 1042,04/15/23,2001 Bloomington Ave,HUCK
,Welfare Hold,,
UM 23-092453,Narcotics Violation,04/15/2023 1623,04/15/23,300 19th Ave S,FARRAR
UM 23-090683,Indentity Theft,04/14/2023 1645,04/14/23,1167 Raleigh St,HUCK
UM 23-090827,Health Welfare Hold / Suicide,04/13/2023 2320,04/14/23,1 Washington Ave SE,Closed
UM 23-090992,False Info to Police,04/14/2023 0345,04/14/23,401 Oak St SE,HUCK
UM 23-091121,Warrant,04/14/2023 0943,04/14/23,630 Cedar Ave S,Closed - Arrest
UM 23-091128,Theft,04/13/2023 1100,04/14/23,1122 University Ave SE,Inactive
UM 23-091361,Bike Theft,04/14/2023 0900,04/14/23,321 19th Ave S,FARRAR
UM 23-091398,Theft,04/14/2023 1300,04/14/23,401 Oak St SE,THOMAS
UM 23-091460,Possession of Drug Paraphilia,04/14/2023 1615,04/14/23,308 Harvard St SE,Closed - Cited
UM 23-091469,Auto Theft,04/14/2023 0800,04/14/23,420 Delaware St SE,Inactive
UM 23-091699,Miscellaneous,04/15/2023 1943,04/14/23,615 Fulton St SE,HUCK
UM 23-091914,DWI - Refusal,04/14/2023 2334,04/14/23,300BLK 11th Ave SE,LAPP
UM 23-091931,Helath and Welfare Hold,04/14/2023 2355,04/14/23,701 Fulton St SE,Closed
UM 23-089816,Health Welfare Hold / Non-Vehicular Accident,04/13/2023 0002,04/13/23,200 Oak St SE,Closed
UM 23-089993,Motor Vehicle Accident Injury Report,04/13/2023 0735,04/13/23,Transitway / Malcolm Ave SE,Closed
UM 23-090016,Narcotics Violation / Trespass / Obstruct Legal,04/13/2023 0819,04/13/23,1925 4th St S,THOMAS
,Process,,
UM 23-090022,Damage to Motor Vehicle,04/12/2023 2100,04/13/23,2007 29th Ave SE,HUCK
UM 23-090054,Damage to Motor Vehicle,04/13/2023 0917,04/13/23,21 11th Ave SE,HUCK
UM 23-090114,Trespass / Warrant,04/13/2023 1020,04/13/23,615 Washington Ave SE,Closed - Arrest
UM 23-090236,Theft,04/11/2023 0800,04/13/23,417 Walnut St SE,Huck
UM 23-090255,Trespass,04/13/2023 1120,04/13/23,615 Washington Ave SE,HUCK
UM 23-090371,Auto Theft / Theft from Motor Vehicle,04/13/2023 1430,04/13/23,1064 27th Ave SE,Huck
UM 23-090512,Health Welfare Hold / Use of Force,04/13/2023 1735,04/13/23,2001 Bloomington Ave,Closed
UM 23-090695,Suicide,04/13/2023 2017,04/13/23,1200 Main St SE,Closed
UM 23-090837,False Info to Police / Warrant,04/13/2023 2334,04/13/23,600 Main St SE,Closed - Arrest
UM 23-088773,Miscellaneous,04/12/2023 0358,04/12/23,701 15th Ave SE,HUCK
UM 23-088804,Health Welfare Hold,04/12/2023 0510,04/12/23,909 Fulton St SE,Closed
UM 23-089100,Theft from Motor Vehicle,04/09/2023 1745,04/12/23,385 River Pkwy E,Inactive
UM 23-089317,Accidental Fire,04/12/2023 1546,04/12/23,516 15th Ave SE,CARLSON
UM 23-089365,Theft from Motor Vehicle,04/11/2023 2200,04/12/23,210 Delaware St SE,Inactive
UM 23-089370,Miscellaneous,04/06/2023 2150,04/12/23,1458 Cleveland Ave N,Closed
UM 23-089528,Warrant,04/12/2023 1911,04/12/23,200 Oak St SE,CARLSON
MP 23-703442,Hit and Run-Unattended Vehicle,04/04/2023,1621,04/11/23,401 Oak St SE,MPD
MP 23-79382,Theft by Swindle,04/03/2023,417,04/11/23,1601 University Ave SE,MPD
MP 23-79468,Flee Police in Motor Vehicle,04/02/2023,1906,04/11/23,25th Ave S & 7th St S,MPD
MP 23-81547,Auto theft,04/04/2023,2143,04/11/23,612 Fulton St SE,MPD
MP 23-86890,Carry a Weapon Without a Permit,04/10/2023,1138,04/11/23,Huron Blvd SE & Fulton St SE,MPD
MP 23-88137,Hit and Run Property Damage,4/11/23 2:30 PM,04/11/23,10th Ave SE & Univesity Ave SE,MPD
UM 23-087705,Obstruct Legal Process,04/11/2023 0704,04/11/23,1920 2nd St S,Closed - Cited
UM 23-088019,No Proof of Insurance,04/11/2023 1310,04/11/23,515 Delaware St SE,Closed - Cited
UM 23-088456,Obstruct Legal Process / Warrant,04/11/2023 1951,04/11/23,275 Cedar Ave S,HUCK
MP 23-75846,Disorderly Conduct,03/30/2023,453,04/10/23,608 25th Ave S,MPD
UM 23-086848,Theft from Motor Vehicle / Credit Card Fraud,04/09/2023 1300,04/10/23,385 River Pkwy E,THOMAS
UM 23-086894,Theft from Building,03/27/2023 0001,04/10/23,645 16th Ave SE,Closed
UM 23-087068,Theft,04/10/2023 0000,04/10/23,412 22nd Ave S,Closed
UM 23-087322,Theft,04/10/2023 1844,04/10/23,420 Delaware St SE,THOMAS
UM 23-085699,Driving after Revocation,04/09/2023 0013,04/09/23,4th St SE / 17th Ave SE,Closed - Cited
UM 23-085833,Trespass / Possession of Burglary Tools,04/09/2023 0305,04/09/23,326 17th Ave SE,HUCK
UM 23-085860,Tamper with Motor Vehicle / Use of Force /,04/09/2023 0410,04/09/23,4 27th Ave SE,Closed - Arrest
,Warrant,,,
UM 23-086374,Driving After Revocation,04/09/2023 1922,04/09/23,4th St SE / 30th Ave SE,Closed - Cited
UM 23-086470,Bike Theft,04/09/2023 2100,04/09/23,412 22nd Ave S,HUCK
UM 23-084749,Trespass,04/08/2023 0020,04/08/23,390 29th Ave SE,Closed
UM 23-084812,Consumption of Liquor by Minor / Open Bottle,04/08/2023 0122,04/08/23,Huron Blvd SE / Essex St SE,Closed - Cited
UM 23-084824,Theft / Trespass /Obstruct Legal Process,04/08/2023 0138,04/08/23,405 14th Ave SE,CARLSON
UM 23-084907,Trespass / Warrant,04/08/2023 0327,04/08/23,615 Washington Ave SE,Closed
UM 23-084936,DWI with Drug Involved,04/08/2023 0458,04/08/23,2301 6th St SE,CARLSON
UM 23-084980,Hit/Run Property Damage,04/07/2023 2300,04/08/23,659 Delaware St SE,Inactive
UM 23-085028,Trespass,04/08/2023 0954,04/08/23,89 Church St SE,Closed - Cited
UM 23-085367,Bike Theft,04/07/2023 2350,04/08/23,309 19th Ave S,Inactive
UM 23-085492,Trespass,04/08/2023 2002,04/08/23,210 Delaware St SE,Closed
UM 23-083692,Impound Abandoned Vehicle,04/07/2023 0046,04/07/23,100 Blk 4th St SE,Closed
UM 23-083705,Driving After Revocation,04/07/2023 0113,04/07/23,University Ave SE / 26th Ave SE,Closed - Cited
UM 23-083726,Narcotics Violation / Warrant / Use of Force,04/07/2023 0155,04/07/23,6th St S / 15th Ave S,CARLSON
UM 23-083786,Warrant,04/07/2023 0439,04/07/23,401 Oak St SE,Closed - Arrest
UM 23-083886,Missing Person,04/06/2023 2055,04/07/23,354 East River Pkwy,Closed
UM 23-084057,Theft from Building / Damage to Property,04/06/2023 1842,04/07/23,417 Walnut St SE,HUCK
UM 23-084140,Mysterious Disappearance,11/01/2020 0000,04/07/23,308 Harvard St SE,Inactive
UM 23-084229,Theft from Motor Vehicle / Damage to Motor,04/07/2023 1300,04/07/23,401 Oak St SE,Inactive
,Vehicle,,
UM 23-084398,Crisis Intervention,04/07/2023 1828,04/07/23,25th Ave S / Riverside Ave,Closed
UM 23-082662,Driving After Revocation,04/06/2023 0033,04/06/23,Huron Blvd SE / Delaware St SE,Closed - Cited
UM 23-082744,Burglary of Business,04/05/2023 1415,04/06/23,Larpenteur Ave W / Cleveland Ave,Inactive
,,N,
UM 23-083028,Theft from Building / Obstruct Legal Process,04/06/2023 1302,04/06/23,630 Washington Ave SE,Closed - Arrest
UM 23-083127,Lost Property/No Crime,04/01/2023 0000,04/06/23,1208 Ray Pl,Closed
UM 23-083352,Unsecure Business,04/06/2023 1827,04/06/23,2901 Talmage Ave SE,Closed
UM 23-083451,Auto Theft,04/06/2023 1315,04/06/23,420 25th Ave SE,CARLSON
UM 23-083602,Miscellaneous,04/06/2023 2235,04/06/23,412 22nd Ave S,Closed
,Burglary / Narcotics Violation / Trespass /,,THOMAS
UM 23-081733,Possession of Burg Tools,04/05/2023 0531,04/05/23,717 Delaware St SE,
,/ Use of Force / Warrant,,
UM 23-081742,Recover Property,04/05/2023 0000,04/05/23,1625 4th St SE,Closed
UM 23-081771,Theft from Coin Operated Device,04/04/2023 0730,04/05/23,257 19th Ave S,Closed
UM 23-081774,Damamge to Motor Vehicle / Flee Officer in,04/05/2023 0743,04/05/23,27th Ave SE / Talmage Ave SE,CARLSON
,Motor Vehicle,,
UM 23-081875,Burglary of Business,04/03/2023 1200,04/05/23,Larpenteur Ave W / Cleveland Ave,CARLSON
,,N,
UM 23-082103,Miscellaneous,04/04/2023 1945,04/05/23,117 Pleasant St SE,THOMAS
UM 23-082348,Non-Vehicular Accident,04/05/2023 1800,04/05/23,516 Delaware St SE,Closed
UM 23-082487,Warrant,04/05/2023 2042,04/05/23,1458 Cleveland Ave N,Closed - Arrest
UM 23-080950,Auto Theft,04/04/2023 1022,04/04/23,1002 Essex St SE,THOMAS
UM 23-081322,Miscellaneous,04/04/2023 1737,04/04/23,421 Washington Ave SE,Closed
UM 23-079833,Stalking,05/01/2022 1200,04/03/23,317 17th Ave SE,HUCK
UM 23-079993,Theft / Credit Card Fraud,04/02/2023 1015,04/03/23,420 23rd Ave SE,CARLSON
UM 23-080049,Auto Theft / Credit Card Fraud/ Theft from,04/02/2023 1330,04/03/23,1041 5th St SE,Jurisdiction Transfer
,Auto,,
UM 23-080120,Damage to Property,04/01/2023 1500,04/03/23,417 Walnut St SE,Inactive
UM 23-080251,Hit and Run Property Damage,04/03/2023 1616,04/03/23,1458 Cleveland Ave N,Inactive
UM 23-080343,Violate Handicap Parking,04/03/2023 1745,04/03/23,2128 4th St S,Closed - Cited
UM 23-080413,Theft from Building,04/03/2023 1600,04/03/23,123 Harvard St SE,CARLSON
UM 23-080696,Driving after Suspension,04/04/2023 0039,04/03/23,4th St SE / 17th Ave SE,Closed - Cited
UM 23-078893,Trespass,04/02/2023 0325,04/02/23,401 Oak St SE,Closed
UM 23-079138,Miscellaneous,04/02/2023 1145,04/02/23,500 Harvard St SE,Closed
UM 23-079267,Trespass,04/02/2023 1539,04/02/23,301 19th Ave S,Closed
UM 23-078110,Recovered Property,04/01/2023 1100,04/01/23,511 Washington Ave SE,Closed
UM 23-078214,Hit and Run with Injury,04/01/2023 1258,04/01/23,4th St SE / 17th Ave SE,CARLSON
UM 23-078250,Warrant,04/01/2023 1400,04/01/23,615 Washington Ave SE,Closed - Arrest
UM 23-078569,Traffic Law Enforcement,04/01/2023 2014,04/01/23,2001 University Ave SE,Closed - Cited
UM 23-078704,Crisis Intervention,04/01/2023 2303,04/01/23,417 Walnut St SE,Closed
UM 23-076759,Warrant,03/30/2023 2320,03/31/23,80 Church St SE,Closed - Arrest
UM 23-076902,Trespass,03/31/2023 0419,03/31/23,300 19th Ave S,Closed
UM 23-077034,Theft,03/30/2023 0930,03/31/23,500 Harvard St SE,THOMAS
UM 23-077230,Damage to Motor Vehicle,03/24/2023 0630,03/31/23,385 River Parkway E,Inactive
UM 23-077397,Recovered Vehicle,03/31/2023 1642,03/31/23,23rd Ave SE / Hennepin Ave E,Closed
UM 23-077401,Theft from Motor Vehicle / Damage to Motor,03/31/2023 0730,03/31/23,401 Oak St SE,Inactive
,Vehicle,,
UM 23-077663,Motor Vehicle Accident Damage Report,03/31/2023 2143,03/31/23,Harvard St SE / Pillsbury Dr SE,Closed
UM 23-075770,Trespass,03/30/2023 0000,03/30/23,501 Washington Ave SE,Closed
UM 23-075855,Narcotics Violation,03/30/2023 0333,03/30/23,80 Church St SE,CARLSON
UM 23-076108,Miscellaneous,03/30/2023 0930,03/30/23,128 Pleasant St SE,Closed
UM 23-076350,Warrant,03/30/2023 1532,03/30/23,390 29th Ave SE,Closed - Arrest
UM 23-076543,Burglary of Dwelling / Trespass,03/30/2023 1852,03/30/23,615 Fulton St SE,CARLSON
UM 23-070839,Illegal Use of Handicap Parking,03/24/2023 1915,03/29/23,300 Delaware St SE,Closed - Cited
UM 23-075104,Indecent Exposure,03/29/2023 1110,03/29/23,615 Fulton St SE,HUCK
UM 23-075289,Theft from Building,03/29/2023 1415,03/29/23,301 19th Ave S,FARRAR
UM 23-075394,Non-Vehicular Accident,03/29/2023 1657,03/29/23,515 Delaware St SE,Closed
UM 23-075423,Miscellaneous,03/29/2023 1714,03/29/23,128 Pleasant St SE,Closed
UM 23-075447,Theft from Motor Vehicle,03/29/2023 0835,03/29/23,401 Oak St SE,Closed
UM 23-075591,No Valid Drivers License,03/29/2023 2012,03/29/23,Oak St SE / Washington Ave SE,Closed - Cited
UM 23-075728,Non- Vehicular Accident,03/29/2023 2305,03/29/23,615 Fulton St S,Inactive
UM 23-073876,Auto Theft,03/27/2023 2359,03/28/23,601 Delaware St SE,THOMAS
UM 23-074012,Miscellaneous,03/28/2023 0822,03/28/23,321 19th Ave S,Closed
UM 23-074658,Traffic Law Enforcement,03/28/2023 2036,03/28/23,1900 4th St SE,Closed - Cited
UM 23-072942,Impound Abandoned Vehicle,03/27/2023 0000,03/27/23,300 19th Ave S,Closed
UM 23-073160,Theft,03/26/2023 1230,03/27/23,1536 Cleveland Ave N,Inactive
UM 23-073354,Driving After Revocation,03/27/2023 1412,03/27/23,2218 University Ave SE,Closed - Cited
UM 23-073544,Driving After Revocation,03/27/2023 1724,03/27/23,Church St SE / Pillsbury Dr SE,Closed - Cited
UM 23-073598,Trespass,03/27/2023 1801,03/27/23,200 Oak St SE,Closed - Cited
UM 23-072004,Health Welfare Hold,02/05/2023 2331,03/26/23,1926 University Ave SE,Closed
UM 23-072109,Trespass,02/26/2023 0138,03/26/23,501 Washington Ave SE,Closed - Cited
UM 23-072177,Trespass,03/26/2023 0255,03/26/23,80 Church St SE,Closed - Cited
UM 23-072299,Miscellaneous,03/26/2023 0100,03/26/23,412 22nd Ave S,Closed
UM 23-072720,Driving After Suspension,03/26/2023 1910,03/26/23,University Ave SE / Walnut St SE,Closed - Cited
UM 23-071036,Damage to Property,03/24/2023 2259,03/25/23,210 Delaware St SE,Inactive
UM 23-071172,Driving After Revocation / Traffic Law,03/25/2023 0154,03/25/23,300 15th Ave SE,Closed - Cited
,Enforcement,,
UM 23-071251,Trespass,03/25/2023 0421,03/25/23,516 Delaware St SE,Closed
UM 23-071284,Miscellaneous,03/25/2023 0638,03/25/23,257 S 19th Ave,Closed
UM 23-071445,Crisis Intervention,03/25/2023 1240,03/25/23,2009 University Ave SE,Closed
UM 23-071964,Driving After Revocation,03/25/2023 2232,03/25/23,University Ave SE / 25th Ave SE,Closed - Cited
UM 23-071989,Narcotics Violation / Warrant,03/25/2023 2314,03/25/23,Commonwealth Ave / Gortner Ave,THOMAS
UM 23-070064,Consumption of Liquor by Minor,03/24/2023 0024,03/24/23,Walnut St SE / Delaware St SE,Closed - Cited
UM 23-070076,Theft by Swindle,03/24/2023 0039,03/24/23,614 Delaware St SE,Inactive
UM 23-070214,Criminal Sexual Conduct - Molest,03/24/2023 0618,03/24/23,401 Oak St SE,FARRAR
UM 23-070319,Miscellaneous,03/15/2023 1736,03/24/23,385 E River Pkwy,Closed
UM 23-070402,Warrant,03/24/2023 1215,03/24/23,1926 University Ave SE,Closed
UM 23-070537,Trespass,03/24/2023 1447,03/24/23,222 Pleasant St SE,Closed
UM 23-070561,Trespass,03/24/2023 1518,03/24/23,123 Harvard St SE,Closed
UM 23-070709,Damage to Motor Vehicle,03/24/2023 0530,03/24/23,606 Oak St SE,Inactive
UM 23-071030,Narcotics Violation / Drug Paraphernalia /,03/24/2023 2251,03/24/23,401 Oak St SE,Closed - Cited
,Trespass,,,
UM 23-071073,Driving after Revocation / No Insurance,03/24/2023 2346,03/24/23,4th St SE / 11th St SE,Closed - Cited
UM 23-069166,Warrant,03/23/2023 0216,03/23/23,4th St SE / NB I35,Closed - Arrest
UM 23-069205,Warrant,03/23/2023 0400,03/23/23,500 Harvard St SE,Closed - Arrest
UM 23-069591,Damage to Property,03/01/2023 0700,03/23/23,900 29th Ave SE,Case Continued
UM 23-069621,Terroristic Threats,03/23/2023 0915,03/23/23,315 16th Ave SE,HUCK
UM 23-069634,Miscellaneous,03/23/2023 1537,03/23/23,1122 University Ave SE,Closed
UM 23-069666,Theft,03/23/2023 1430,03/23/23,269 19th Ave S,Inactive
UM 23-069677,Damage to Motor Vehicle,03/21/2023 1230,03/23/23,67 River Parkway E,Inactive
UM 23-069744,Trespass,03/23/2023 1744,03/23/23,390 29th Ave SE,CARLSON
UM 23-065181,Assault,03/18/2023 1829,03/22/23,400 21st Ave S,Closed - Arrest
UM 23-068322,Trespass,03/22/2023 0818,03/22/23,300 19th Ave S,Closed
UM 23-068528,Damage to Property,03/22/2023 0700,03/22/23,2231 6th St SE,THOMAS
UM 23-068897,Narcotics Violation,03/22/2023 2002,03/22/23,308 Harvard St SE,THOMAS
MP 23-61302,Hit and Runn-Property Damage,03/14/2023,620,03/21/23,4th St SE & 14th Ave SE,MPD
MP 23-702672,Hit and Run-Property Damage,03/14/2023,1400,03/21/23,Fulton St SE & Erie St SE,MPD
MP 23-702701,Hit and Run-Unattended Vehicle,03/15/2023,1335,03/21/23,University Ave SE & 18th Ave SE,MPD
MP 23-702768,Harrassment,03/16/2023,1155,03/21/23,909 Fulton St SE,MPD
UM 23-067501,Damage to Property,03/19/2023 1430,03/21/23,333 East River Parkway,FARRAR
UM 23-067548,Warrant,03/21/2023 1135,03/21/23,1926 University Ave SE,CARLSON
UM 23-067669,Use of Force / Miscellaneous,03/21/2023 1417,03/21/23,1925 University Ave SE,Closed
UM 23-067734,Water Emergency,03/21/2023 1533,03/21/23,1 Washington Ave SE,Closed
UM 23-067810,Harass,03/17/2023 1300,03/21/23,1458 Cleveland Ave N,HUCK
UM 23-068043,Hit/Run Property Damage,03/21/2023 1200,03/21/23,401 Oak St SE,Inactive
UM 23-066782,Damage to Property,03/17/2023 1600,03/20/23,701 Fulton St SE,Inactive
UM 23-066863,Theft,03/20/2023 1230,03/20/23,615 Washington Ave SE,CARLSON
UM 23-066984,Non- Vehicular Accident,03/20/2023 1814,03/20/23,615 Fulton St SE,Closed
UM 23-067106,Theft from Building,03/20/2023 2000,03/20/23,1458 Cleveland Ave N,Inactive
UM 23-065822,Traffic Law Enforcement / Use of Force,03/19/2023 1212,03/19/23,Kasota Ave / Elm St SE,Closed - Cited
UM 23-065882,Damage to Motor Vehicle,03/16/2023 1900,03/19/23,2301 6th St SE,Inactive
UM 23-065960,Narcotics Violation / Warrant,03/19/2023 1545,03/19/23,390 29th Ave SE,CARLSON
UM 23-066193,Recover Property,03/19/2023 2115,03/19/23,505 Washington Ave SE,Closed
UM 23-064422,Obstruct Legal Process,03/17/2023 2236,03/18/23,515 Delaware St SE,Closed - Arrest
UM 23-064461,Health Welfare Hold,03/17/2023 2323,03/18/23,Harvard St SE / Delaware St SE,Closed
UM 23-064493,Miscellaneous,03/17/2023 2357,03/18/23,615 Fulton St SE,Closed
UM 23-064557,Health Welfare Hold,03/18/2023 0101,03/18/23,406 12th Ave SE,Closed
UM 23-064591,Driving while Intoxicated,03/18/2023 0154,03/18/23,Oak St SE / University Ave SE,CARLSON
UM 23-064709,Recovered Vehicle,03/18/2023 0606,03/18/23,4th St SE / 17th Ave SE,Closed
UM 23-063545,Trespass,03/16/2023 2305,03/17/23,300 19th Ave S,Closed
UM 23-063626,Driving while Intoxicated / Traffic Law,03/17/2023 0039,03/17/23,15th Ave SE / 4th St SE,Closed - Arrest
,Enforcement,,,
UM 23-063730,Theft from Motor Vehicle,03/16/2023 1600,03/17/23,601 Delaware St SE,Inactive
UM 23-063799,Theft of Motor Vehicle Parts,03/16/2023 0900,03/17/23,1625 4th St SE,Inactive
UM 23-063976,Theft of Motor Vehicle Parts,03/16/2023 0730,03/17/23,2115 5th St S,FARRAR
UM 23-064052,Damage to Motor Vehicle,03/17/2023 0723,03/17/23,300 19th Ave S,FARRAR
UM 23-064333,Crisis Intervention,03/17/2023 2106,03/17/23,701 Fulton St SE,Active
UM 23-064454,Driving while Intoxicated,03/17/2023 2319,03/17/23,East River PKWY / Delaware St,Closed - Arrest
,,,SE,
UM 23-062909,Warrant,03/16/2023 0917,03/16/23,4th ST SE / 13th Ave SE,Closed - Arrest
UM 23-063081,Theft of Motor Vehicle Parts,03/16/2023 0855,03/16/23,2115 5th ST S,FARRAR
UM 23-063486,Failure to Obey,03/16/2023 2142,03/16/23,1925 University Ave SE,Closed - Cited
UM 23-063576,Trespass,03/16/2023 2339,03/16/23,80 Church St SE,Closed - Cited
UM 23-062021,Driving After Revocation,03/15/2023 1056,03/15/23,1 10th Ave SE,Closed - Cited
UM 23-062075,Damage to Motor Vehicle,03/11/2023 1600,03/15/23,401 Oak St SE,THOMAS
UM 23-062125,Bike Theft,03/14/2023 1630,03/15/23,200 Union St SE,CARLSON
UM 23-062353,Auto Theft,03/02/2023 1500,03/15/23,1048 27th Ave SE,Closed
